id_transaccion,nombre,ciudad,direccion,correo,telefono,ip,monto,modalidad_pago,estado_pago,timestamp
20250714-618,Aldo Óscar Macías Matías,Nueva Estonia,"Avenida Saucedo 823 Interior 560, San Marcela los altos, OAX 18770",miriam85@example.com,1-093-306-7404x054,21.129.84.165,1343.97,fraccionado,exitoso,2025-07-14T16:53:01.923413
20250714-155,Dr. René Guardado,Vieja Rwanda,"Callejón Guevara 478 877, Vieja Nueva Zelandia, OAX 51125-6108",ledesmaarmando@example.net,07651795498,1.63.187.128,3139.56,fraccionado,exitoso,2025-07-14T16:53:01.923772
20250714-157,Federico Evelio Anguiano Menéndez,Nueva Kazajstán,"Ampliación Sur Armenta 690 Interior 400, Nueva Angola, BC 70096-7631",liliaalvarez@example.org,(574)100-7444x856,34.45.119.142,4952.07,fraccionado,exitoso,2025-07-14T16:53:01.924144
20250714-563,Ernesto Marisela Pabón Iglesias,Nueva Libia,"Continuación Palacios 924 Edif. 772 , Depto. 502, Nueva Italia, SON 87339",mauro18@example.net,(017)737-2323x737,85.224.62.174,1029.93,fraccionado,fallido,2025-07-14T16:53:01.924611
20250714-443,Anabel Rebeca Solís,Nueva Tailandia,"Eje vial Camboya 042 272, Nueva Armenia, PUE 28496",rubypulido@example.net,495-072-3636x69279,155.185.54.131,3464.04,fraccionado,exitoso,2025-07-14T16:53:01.924974
20250714-205,Itzel Domínguez,San Eric los bajos,"Retorno Heredia 516 229, Nueva Eritrea, CHIS 04545-3407",lilia64@example.org,1-221-450-7951x4405,18.197.43.58,885.96,fraccionado,fallido,2025-07-14T16:53:01.925347
20250714-887,Juan Carlos Estela Concepción,Nueva Serbia,"Retorno Sur de la Torre 378 Interior 794, San Andrés de la Montaña, TAB 91289",beatriz47@example.net,1-620-410-1957x0802,10.199.84.134,1914.55,fraccionado,exitoso,2025-07-14T16:53:01.925720
20250714-449,Sandra Espinosa García,Vieja Mauritania,"Retorno López 654 203, San Nadia de la Montaña, OAX 06681-8233",cristianterrazas@example.org,(101)936-6137x904,86.71.6.42,790.06,fraccionado,fallido,2025-07-14T16:53:01.926084
20250714-408,Elena Timoteo Guerra Carbajal,San Mónica los altos,"Calzada Sur Corrales 849 Interior 569, Nueva Malasia, CHIS 01572-8053",noemicisneros@example.com,(571)716-0216x918,112.206.112.176,3037.61,fraccionado,fallido,2025-07-14T16:53:01.926467
20250714-075,Elsa Hilda Zavala,Nueva Gambia,"Prolongación Esquibel 650 Edif. 377 , Depto. 922, Vieja Turquía, MOR 11171",mauro83@example.com,838.719.7454x175,60.29.190.82,3343.6,completo,fallido,2025-07-14T16:53:01.926824
20250714-239,Martha Diego Suárez,Nueva Ecuador,"Circunvalación San Marino 295 Edif. 979 , Depto. 371, Vieja Liechtenstein, Q. ROO 82767-9806",smalave@example.com,(482)165-8903,11.149.145.4,4120.93,fraccionado,exitoso,2025-07-14T16:53:01.927182
20250714-462,Nadia Olivares Trujillo,Nueva Brasil,"Eje vial Sur Mata 290 700, San Isabela los altos, COAH 48992",flavio99@example.net,(661)857-7763x4579,5.82.45.138,2003.64,completo,exitoso,2025-07-14T16:53:01.927581
20250714-075,Jorge Luis Isabela Godoy,San Carla los bajos,"Corredor Norte Saldaña 939 Edif. 657 , Depto. 753, Nueva Togo, MEX 94131",grijalvamarcos@example.com,(306)766-7218x6742,54.106.10.179,4273.13,completo,exitoso,2025-07-14T16:53:01.927950
20250714-372,Genaro Angélica Sanches,San Linda los altos,"Circunvalación Quintana Roo 816 Interior 395, San Berta los altos, CAMP 36160",juanmata@example.org,(710)533-7840,60.179.21.91,4182.93,completo,fallido,2025-07-14T16:53:01.928317
20250714-701,Camila Fuentes Almaraz,San Dulce de la Montaña,"Diagonal Michoacán de Ocampo 908 Edif. 743 , Depto. 834, Vieja San Vicente y las Granadinas, DGO 98442",bruno35@example.com,535.051.8110x487,15.184.250.58,1518.47,completo,fallido,2025-07-14T16:53:01.928860
20250714-162,Luis Manuel Griego Terán,Vieja Fiji,"Retorno Japón 196 Edif. 583 , Depto. 859, Vieja Bangladesh, COL 54509-2833",munizdelia@example.com,668-962-2878x182,85.54.181.199,3052.75,fraccionado,fallido,2025-07-14T16:53:01.929279
20250714-107,Margarita Loera,Vieja Malta,"Retorno Norte Oquendo 901 Edif. 348 , Depto. 718, San Mitzy de la Montaña, Q. ROO 50321-0056",isabela25@example.net,472.210.7113x467,64.173.39.95,1772.84,fraccionado,exitoso,2025-07-14T16:53:01.929679
20250714-464,Concepción Olga Godoy,San Antonia los bajos,"Peatonal Perea 566 Edif. 109 , Depto. 612, San Óscar de la Montaña, YUC 83446-4382",dario81@example.org,085.293.3334,5.79.64.41,4589.05,completo,fallido,2025-07-14T16:53:01.930061
20250714-221,Cristian Esparta Valverde,San Horacio los bajos,"Ampliación Tonga 179 Interior 002, San Modesto los altos, TAB 47083-9627",lozadaserafin@example.net,(404)835-1910x6514,106.201.21.19,1221.96,completo,fallido,2025-07-14T16:53:01.930457
20250714-400,Adriana Sessa Sanabria,Vieja Georgia,"Callejón Distrito Federal 965 Edif. 950 , Depto. 328, Vieja Somalia, TAB 94728",soniaarchuleta@example.org,(185)023-3896x361,198.120.239.244,2542.42,fraccionado,fallido,2025-07-14T16:53:01.930839
20250714-450,Margarita Vergara,San Juan de la Montaña,"Andador Norte Casares 993 Interior 762, San Soledad los bajos, COL 63499-4311",de-la-ojose-eduardo@example.net,733.273.1751,118.114.134.44,1398.17,completo,fallido,2025-07-14T16:53:01.931222
20250714-546,Diana Lilia Palomo Caraballo,Nueva Liberia,"Corredor Sudán del Sur 410 Edif. 108 , Depto. 760, San Antonio de la Montaña, GRO 09993-8029",tmontano@example.com,938-883-5396,174.68.87.156,128.79,completo,fallido,2025-07-14T16:53:01.931617
20250714-603,David Cristobal Henríquez,San Arcelia los altos,"Eje vial Nayarit 942 Edif. 606 , Depto. 637, Vieja Emiratos Árabes Unidos, TAB 94159",lindatafoya@example.net,1-921-650-0326x1287,216.141.126.79,4292.97,fraccionado,fallido,2025-07-14T16:53:01.932004
20250714-386,Mauro Aranda Mota,Nueva Canadá,"Corredor Tlaxcala 993 Edif. 618 , Depto. 111, San Elias los altos, PUE 90555",tpantoja@example.com,996.455.8143x27902,4.142.158.204,2801.6,fraccionado,exitoso,2025-07-14T16:53:01.932389
20250714-958,Lic. Celia Luevano,San Lourdes de la Montaña,"Diagonal Norte Avilés 726 204, Vieja República Unida de Tanzanía, OAX 71934-1043",ignaciode-anda@example.com,666-601-0626x78646,214.145.1.227,901.52,fraccionado,fallido,2025-07-14T16:53:01.932791
20250714-846,Enrique Patiño Barajas,San Ana Luisa de la Montaña,"Retorno Gallardo 236 Edif. 767 , Depto. 853, San Alvaro los altos, CAMP 83010",rocio07@example.net,1-103-612-3913,186.128.222.77,2874.88,completo,fallido,2025-07-14T16:53:01.933142
20250714-233,Zeferino Segura Preciado,Vieja Canadá,"Boulevard Michoacán de Ocampo 390 Edif. 158 , Depto. 398, Nueva Malasia, GRO 87129",pascualsepulveda@example.com,753-979-9146,45.85.123.150,4445.16,fraccionado,exitoso,2025-07-14T16:53:01.933505
20250714-890,Marco Antonio Gonzalo Llamas,Vieja Mongolia,"Pasaje Sur Raya 747 Edif. 753 , Depto. 155, San Abril los altos, VER 36512-8747",augustomercado@example.com,1-633-025-0741x716,184.153.212.41,1912.54,fraccionado,exitoso,2025-07-14T16:53:01.933874
20250714-616,Patricio Hernán Riojas,Nueva Liberia,"Avenida Chiapas 209 905, Vieja Brasil, OAX 37534",mateo39@example.com,(960)326-9107x70891,122.187.65.1,2593.98,completo,exitoso,2025-07-14T16:53:01.934225
20250714-987,Adalberto Casas Mora,Vieja Australia,"Circunvalación Godínez 492 621, Nueva Yemen, MOR 10632-8183",cornelio94@example.net,08903269494,75.47.4.50,3216.91,fraccionado,fallido,2025-07-14T16:53:01.934585
20250714-907,Araceli Jiménez Carreón,Nueva República Centroafricana,"Prolongación Holguín 892 Interior 744, Vieja Túnez, ZAC 34580-7843",miguel-angelrangel@example.net,05892071811,123.255.148.156,4325.17,fraccionado,fallido,2025-07-14T16:53:01.934981
20250714-070,Isaac Ríos Quintero,Nueva Yemen,"Calzada Sur Rivera 301 838, Nueva Chipre, TAMPS 47157",vvalle@example.com,291-354-5821,189.33.134.240,4231.9,completo,fallido,2025-07-14T16:53:01.935342
20250714-351,Emilio Marcos Santacruz,Nueva Turkmenistán,"Continuación Valencia 801 783, San Arturo los bajos, PUE 22413-9486",epuga@example.com,359-657-6498x602,192.182.23.74,1849.59,fraccionado,exitoso,2025-07-14T16:53:01.935697
20250714-999,María Eugenia Evelio Arriaga,San Carmen de la Montaña,"Eje vial Palau 216 Edif. 664 , Depto. 951, Nueva Madagascar, VER 97906-7247",esperanza54@example.net,809.129.9964,29.24.111.75,1453.57,completo,exitoso,2025-07-14T16:53:01.936053
20250714-991,Aldo Sisneros Vigil,San Nicolás los altos,"Callejón Hernández 881 354, San Homero los bajos, SON 85792-9052",beltranalicia@example.com,759-699-5775x70197,105.97.198.150,778.69,fraccionado,exitoso,2025-07-14T16:53:01.936423
20250714-159,Eva Jorge Luis Zavala,San Jacinto los bajos,"Diagonal Zambia 861 Interior 653, Vieja Bahrein, PUE 67172",bravoemiliano@example.net,+54(4)9959230137,118.180.4.230,3891.93,fraccionado,exitoso,2025-07-14T16:53:01.936787
20250714-397,Victoria Camilo Cornejo,Vieja Sudán del Sur,"Boulevard Austria 559 746, San Úrsula de la Montaña, MICH 66898",marcelacortes@example.net,1-083-713-7493,34.114.120.22,2324.87,completo,fallido,2025-07-14T16:53:01.937136
20250714-098,Camilo de Jesús Rosado,San María los bajos,"Circuito Granada 003 516, San Pilar de la Montaña, MEX 62242",blancosilvia@example.com,1-041-878-6259x20506,185.19.93.130,1005.73,fraccionado,exitoso,2025-07-14T16:53:01.937577
20250714-217,Marcela Durán Leal,San Andrea los bajos,"Continuación Norte Adame 346 Interior 093, Nueva España, GTO 73450",daltamirano@example.com,116-379-9307x5910,19.121.183.218,841.81,fraccionado,fallido,2025-07-14T16:53:01.937956
20250714-156,Sessa Violeta Granados Peña,Nueva Noruega,"Callejón Sur Matías 562 Interior 425, Vieja Túnez, DGO 26273-3362",wolmos@example.com,+71(8)3545881366,71.107.101.80,1958.7,completo,fallido,2025-07-14T16:53:01.938363
20250714-144,Clara León Rubio,San Natalia los altos,"Andador Lesotho 396 Interior 034, Nueva Islandia, YUC 51548",esteban94@example.com,1-253-755-9104,138.108.86.127,1392.88,fraccionado,fallido,2025-07-14T16:53:01.938717
20250714-891,María José Gómez,Vieja Namibia,"Pasaje Tirado 907 Edif. 494 , Depto. 016, Vieja Bhután, SLP 83184-3200",natividadde-la-o@example.com,756-779-1624x792,205.71.139.132,3809.93,fraccionado,exitoso,2025-07-14T16:53:01.939075
20250714-016,Bianca Urrutia,Nueva Islas Marshall,"Circunvalación Sur Alejandro 168 627, San Leonor de la Montaña, SIN 65500-3494",xochoa@example.net,250.999.0804,187.181.222.57,4760.44,completo,fallido,2025-07-14T16:53:01.939456
20250714-842,Sr(a). Esmeralda Castillo,Nueva Austria,"Viaducto Sur Suárez 722 Interior 243, Nueva Alemania, CAMP 86164-9824",estradablanca@example.org,010.273.9174,64.4.1.149,4402.51,completo,exitoso,2025-07-14T16:53:01.939813
20250714-680,Carla de Jesús Carranza,San Amanda de la Montaña,"Ampliación Sur Vega 069 Interior 567, San Nelly los altos, SON 09144",alejandra24@example.net,1-719-456-1691x931,130.53.80.153,3245.57,fraccionado,fallido,2025-07-14T16:53:01.940169
20250714-406,Amador Núñez,Vieja Sudán,"Calzada Hinojosa 468 855, Nueva Sudáfrica, MOR 19330",ramiro41@example.net,1-356-653-8229x908,53.190.164.135,3795.0,fraccionado,exitoso,2025-07-14T16:53:01.940519
20250714-889,Margarita Dávila Pérez,Vieja Mónaco,"Continuación Aguascalientes 531 Edif. 415 , Depto. 762, San Vicente de la Montaña, MOR 82102-2601",ccamarillo@example.net,+08(1)4478457061,136.41.214.254,4257.59,completo,exitoso,2025-07-14T16:53:01.940876
20250714-207,Sr(a). Dolores Oquendo,San Rocío los bajos,"Prolongación Sur Ontiveros 924 Edif. 490 , Depto. 477, San Susana de la Montaña, BC 67895",msevilla@example.org,201-580-2641x714,39.181.174.52,1881.79,completo,fallido,2025-07-14T16:53:01.941234
20250714-191,Soledad Jaimes Ballesteros,San Conchita los bajos,"Privada Lebrón 217 Edif. 551 , Depto. 867, Vieja Islas Marshall, NAY 08292",monica80@example.net,373-084-7115x8256,45.41.144.231,2679.25,completo,exitoso,2025-07-14T16:53:01.941592
20250714-826,Beatriz Renato Alonzo,Nueva Dominicana,"Circunvalación Camboya 128 735, San Mitzy los altos, TAB 51173-5013",camilabarragan@example.org,085-120-0920,121.224.119.183,4762.7,completo,exitoso,2025-07-14T16:53:01.941945
20250714-535,Roberto Alcala,Vieja República Dominicana,"Corredor Sur Carbajal 229 Edif. 160 , Depto. 142, San Jaqueline los bajos, MEX 06334-5190",biancavanegas@example.org,+46(8)1287912222,162.68.25.40,2034.87,completo,exitoso,2025-07-14T16:53:01.942311
20250714-784,Fernando Saavedra Negrete,Nueva Trinidad y Tabago,"Calle Norte Botello 223 Interior 967, San Sergio los bajos, DGO 40984",djiminez@example.org,1-819-080-8944x365,54.25.206.214,4944.59,completo,exitoso,2025-07-14T16:53:01.942666
20250714-573,David Gollum,San Lorena los bajos,"Peatonal Oaxaca 181 Interior 672, San Lorena los altos, Q. ROO 10692-1428",arceliagamboa@example.net,(402)276-3180x2313,95.28.165.144,4778.98,fraccionado,fallido,2025-07-14T16:53:01.943016
20250714-195,José Eduardo Loya Naranjo,Nueva Niger,"Viaducto Mares 056 Interior 023, Vieja Maldivas, MOR 71162-5532",farenas@example.net,04735422986,94.19.226.241,2926.4,completo,fallido,2025-07-14T16:53:01.943367
20250714-414,Sr(a). Isaac Valles,San María los altos,"Andador Norte Sierra 860 Edif. 209 , Depto. 921, San Víctor los bajos, MICH 52510-3340",casanovadiego@example.com,1-648-052-8570x216,152.114.41.210,1405.67,fraccionado,fallido,2025-07-14T16:53:01.943734
20250714-544,Catalina Javier Concepción Villanueva,San Genaro los altos,"Viaducto Costa Rica 819 Interior 718, San Carlos los bajos, VER 11414-3896",octavioleiva@example.org,213.726.6914x644,180.125.163.19,3218.96,completo,exitoso,2025-07-14T16:53:01.944094
20250714-846,Isaac Rodríguez,San Natalia de la Montaña,"Corredor Casillas 619 137, Nueva Malawi, Q. ROO 76088-7762",concepcion03@example.net,+32(9)6012519818,23.105.165.108,4219.21,completo,exitoso,2025-07-14T16:53:01.944448
20250714-368,Débora Carmona Tirado,San Rosa de la Montaña,"Retorno Sonora 134 Interior 495, Vieja Samoa, GRO 55506",marreronorma@example.org,294-617-9352x82458,104.141.4.144,2463.09,fraccionado,exitoso,2025-07-14T16:53:01.944797
20250714-539,Ing. Antonia Santiago,Vieja Luxemburgo,"Diagonal Arriaga 832 812, Nueva Angola, OAX 81780",pamelapadilla@example.com,1-428-197-3218,97.101.162.192,4633.62,completo,exitoso,2025-07-14T16:53:01.945142
20250714-911,Barbara Tania Corona Burgos,San Jaqueline de la Montaña,"Avenida México 648 Interior 809, San Itzel de la Montaña, MOR 75982-2612",marisol11@example.com,(687)382-4840x4013,203.176.164.159,3974.61,fraccionado,fallido,2025-07-14T16:53:01.945545
20250714-234,José Manuél Reséndez Centeno,Vieja Haití,"Privada de la Garza 745 Interior 516, San Emiliano los bajos, TLAX 81561-1832",aida64@example.com,810.990.0682,160.61.249.98,2934.87,completo,exitoso,2025-07-14T16:53:01.945913
20250714-030,Lucas Vallejo Heredia,Vieja Guinea Ecuatorial,"Cerrada Saint Kitts y Nevis 172 413, San Asunción de la Montaña, QRO 84952",estela11@example.org,1-453-893-0273x4295,4.191.126.14,4036.87,completo,exitoso,2025-07-14T16:53:01.946462
20250714-213,Natividad Isabela Báez Rivas,Vieja Ecuador,"Calle Sur Chapa 227 Interior 270, San Clemente de la Montaña, QRO 62694",benito35@example.com,+27(2)0387295483,201.199.90.0,3593.5,completo,fallido,2025-07-14T16:53:01.946843
20250714-735,Lic. Uriel Zapata,San Aldonza los altos,"Calzada Uruguay 500 364, Vieja Eslovenia, SLP 77230",bmontero@example.com,594.562.2669x934,172.173.138.113,2402.31,fraccionado,fallido,2025-07-14T16:53:01.947194
20250714-260,Conchita Barajas Yáñez,Vieja Saint Kitts y Nevis,"Cerrada Turkmenistán 259 Interior 467, Nueva Finlandia, NL 04503",daliacotto@example.org,(141)441-1568,124.166.34.170,322.73,fraccionado,exitoso,2025-07-14T16:53:01.947572
20250714-686,Cornelio Fajardo Delgadillo,Nueva Burkina Faso,"Cerrada Jalisco 082 539, San Juan los altos, TLAX 49178-3264",covarrubiasilse@example.net,1-744-949-3834x05669,159.99.95.79,3396.7,fraccionado,fallido,2025-07-14T16:53:01.947932
20250714-914,Ing. Asunción Valdez,,"Callejón Aguascalientes 717 Edif. 045 , Depto. 507, San Hernán de la Montaña, DGO 04140",correo_invalido,abc123,256.300.1.1,mil pesos,invalido,desconocido,fecha_invalida
20250714-303,Yeni Lorenzo Acevedo de la Garza,Nueva República de Macedonia del Norte,"Periférico Tlaxcala 848 Interior 904, Nueva Finlandia, PUE 44410",rosario98@example.net,08959087199,33.217.1.205,2299.43,completo,fallido,2025-07-14T16:53:01.948515
